REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mapped_sorted.bam
10_NA_peak_1702_lociStitched	1	145253370	145283601	10	20	33556.41
6_NA_peak_21303_lociStitched	6	31154113	31184290	6	12	13299.0039
8_NA_peak_3119_lociStitched	10	17242189	17272363	8	16	39796.4886
5_NA_peak_15904_lociStitched	20	35091029	35120911	5	10	7085.0222
5_NA_peak_17496_lociStitched	3	42623299	42652992	5	10	11963.3097
8_NA_peak_1989_lociStitched	1	156066825	156096509	8	16	12790.8356
6_NA_peak_992_lociStitched	1	45265706	45295386	6	12	46431.392
7_NA_peak_2112_lociStitched	1	161410458	161440090	7	14	7446.5216
6_NA_peak_1961_lociStitched	1	155214074	155243680	6	12	9385.102
6_NA_peak_25632_lociStitched	9	132221882	132251115	6	12	13034.9947
5_NA_peak_11541_lociStitched	17	78965823	78994996	5	10	8466.0046
7_NA_peak_13410_lociStitched	19	54683403	54712525	7	14	24028.5622
6_NA_peak_2019_lociStitched	1	156541984	156571067	6	12	10874.1337
5_NA_peak_21032_lociStitched	6	14903809	14932819	5	10	10252.134
9_NA_peak_1797_lociStitched	1	149804401	149833164	9	18	30045.8298
4_NA_peak_79_lociStitched	1	2158947	2187490	4	8	20131.3779
5_NA_peak_10268_lociStitched	17	1933672	1962144	5	10	7405.5672
5_NA_peak_18953_lociStitched	4	26858914	26887208	5	10	11504.3404
6_NA_peak_1941_lociStitched	1	154928102	154955956	6	12	20210.8624
6_NA_peak_24758_lociStitched	8	145499445	145527211	6	12	21132.7026
7_NA_peak_7725_lociStitched	14	50319189	50346864	7	14	10278.495
6_NA_peak_21590_lociStitched	6	44205633	44233191	6	12	14856.5178
7_NA_peak_625_lociStitched	1	28559322	28586873	7	14	21555.9024
7_NA_peak_14266_lociStitched	2	74682363	74709896	7	14	10853.5086
9_NA_peak_4760_lociStitched	11	65239397	65266924	9	18	33315.9281
7_NA_peak_5321_lociStitched	11	118783541	118810964	7	14	17092.7559
4_NA_peak_125_lociStitched	1	3500081	3527399	4	8	33434.5002
5_NA_peak_4116_lociStitched	11	568961	596191	5	10	7888.531
5_NA_peak_14257_lociStitched	2	74405715	74432941	5	10	10468.397
6_NA_peak_10769_lociStitched	17	33887472	33914647	6	12	12959.7575
8_NA_peak_790_lociStitched	1	36840073	36866963	8	16	26443.626
5_NA_peak_17050_lociStitched	22	45705956	45732655	5	10	9131.058
5_NA_peak_1687_lociStitched	1	144982903	145009415	5	10	15729.5696
5_NA_peak_22321_lociStitched	6	157718801	157745030	5	10	9282.4431
4_NA_peak_10937_lociStitched	17	41150659	41176858	4	8	13264.5537
4_NA_peak_4713_lociStitched	11	64126772	64152873	4	8	5348.0949
6_NA_peak_11958_lociStitched	18	47807761	47833819	6	12	5852.6268
4_NA_peak_10552_lociStitched	17	17727503	17753266	4	8	19425.302
4_NA_peak_18132_lociStitched	3	127469061	127494759	4	8	13208.772
4_NA_peak_214_lociStitched	1	8483655	8509288	4	8	16294.8981
6_NA_peak_5576_lociStitched	12	7036986	7062521	6	12	20144.5615
6_NA_peak_3769_lociStitched	10	99160811	99186205	6	12	20373.6062
4_NA_peak_24402_lociStitched	8	124489396	124514691	4	8	11101.9755
7_NA_peak_6786_lociStitched	12	123917782	123942930	7	14	18566.7684
5_NA_peak_387_lociStitched	1	17215801	17240912	5	10	53596.9184
5_NA_peak_13243_lociStitched	19	48971913	48996990	5	10	7881.7011
5_NA_peak_21424_lociStitched	6	34192205	34217200	5	10	14739.5515
4_NA_peak_14863_lociStitched	2	161251680	161276613	4	8	5891.6679
14_NA_peak_3311_lociStitched	10	42384507	42409255	14	28	138791.7336
3_NA_peak_5286_lociStitched	11	117720468	117745184	3	6	6352.012
4_NA_peak_9951_lociStitched	16	67867622	67892301	4	8	10064.0962
4_NA_peak_6451_lociStitched	12	98885079	98909672	4	8	10729.9259
5_NA_peak_9292_lociStitched	16	2009797	2034382	5	10	11520.531
4_NA_peak_15325_lociStitched	2	224879737	224904290	4	8	9499.5557
5_NA_peak_9308_lociStitched	16	2563804	2588210	5	10	12283.5398
3_NA_peak_18964_lociStitched	4	36245887	36270247	3	6	7427.364
7_NA_peak_12722_lociStitched	19	18391455	18415802	7	14	28432.4266
4_NA_peak_2924_lociStitched	10	977076	1001193	4	8	11957.2086
4_NA_peak_6759_lociStitched	12	123356199	123380269	4	8	18950.311
4_NA_peak_7214_lociStitched	13	50178694	50202762	4	8	5899.0668
5_NA_peak_11804_lociStitched	18	21059649	21083700	5	10	10551.1737
6_NA_peak_20688_lociStitched	5	172192093	172216067	6	12	24081.883
4_NA_peak_14139_lociStitched	2	65068426	65092389	4	8	11732.2848
4_NA_peak_4128_lociStitched	11	795995	819926	4	8	14308.3449
4_NA_peak_19669_lociStitched	4	154347629	154371455	4	8	5687.2662
4_NA_peak_24391_lociStitched	8	124085020	124108833	4	8	20800.6555
5_NA_peak_2020_lociStitched	1	156698359	156722056	5	10	18123.4656
5_NA_peak_3338_lociStitched	10	43892561	43916178	5	10	27745.2516
5_NA_peak_11490_lociStitched	17	76732296	76755906	5	10	17528.064
5_NA_peak_21557_lociStitched	6	43021346	43044944	5	10	7959.6054
5_NA_peak_16197_lociStitched	20	61545990	61569578	5	10	14358.0156
4_NA_peak_4769_lociStitched	11	65314565	65338128	4	8	9253.1901
4_NA_peak_24703_lociStitched	8	144349880	144373364	4	8	9593.214
4_NA_peak_4186_lociStitched	11	3806166	3829617	4	8	12346.9515
5_NA_peak_10855_lociStitched	17	38255073	38278499	5	10	12556.336
4_NA_peak_15408_lociStitched	2	233924723	233948124	4	8	14768.3711
4_NA_peak_6176_lociStitched	12	57070908	57094308	4	8	19094.4
6_NA_peak_7512_lociStitched	14	20923102	20946420	6	12	13379.8684
6_NA_peak_10391_lociStitched	17	7141457	7164760	6	12	20373.8129
7_NA_peak_826_lociStitched	1	38455458	38478605	7	14	27318.0894
4_NA_peak_500_lociStitched	1	25049105	25072207	4	8	11587.9632
5_NA_peak_10916_lociStitched	17	40707026	40730008	5	10	9514.548
5_NA_peak_7920_lociStitched	14	69260425	69283334	5	10	15589.5745
6_NA_peak_18533_lociStitched	3	179168931	179191822	6	12	9467.7176
4_NA_peak_4777_lociStitched	11	65408074	65430931	4	8	10829.6466
3_NA_peak_5300_lociStitched	11	118112163	118134956	3	6	11603.9163
3_NA_peak_13506_lociStitched	19	57988745	58011537	3	6	3013.1024
5_NA_peak_26526_lociStitched	X	64875757	64898522	5	10	26013.5655
6_NA_peak_13279_lociStitched	19	49954888	49977651	6	12	11135.6596
4_NA_peak_23133_lociStitched	7	134832588	134855346	4	8	8170.122
7_NA_peak_9659_lociStitched	16	30064850	30087608	7	14	12066.2916
5_NA_peak_13434_lociStitched	19	55677795	55700536	5	10	3377.0385
4_NA_peak_21244_lociStitched	6	28170503	28193153	4	8	3227.625
6_NA_peak_26796_lociStitched	X	148584857	148607482	6	12	15407.625
5_NA_peak_74_lociStitched	1	2121313	2143853	5	10	17412.15
5_NA_peak_10041_lociStitched	16	73069934	73092446	5	10	5686.5312
5_NA_peak_8418_lociStitched	15	32865241	32887722	5	10	15662.5127
4_NA_peak_9153_lociStitched	15	93351866	93374324	4	8	12958.266
4_NA_peak_24993_lociStitched	9	35635822	35658147	4	8	12781.0625
4_NA_peak_18512_lociStitched	3	177041040	177063350	4	8	9968.108
4_NA_peak_17900_lociStitched	3	100347367	100369640	4	8	5784.2981
3_NA_peak_24522_lociStitched	8	130655465	130677705	3	6	22386.784
4_NA_peak_11588_lociStitched	17	80164378	80186602	4	8	10240.8192
6_NA_peak_13705_lociStitched	2	24128107	24150327	6	12	17167.172
7_NA_peak_13228_lociStitched	19	48752343	48774559	7	14	12512.0512
3_NA_peak_1874_lociStitched	1	151870364	151892561	3	6	6368.3193
4_NA_peak_187_lociStitched	1	6663323	6685418	4	8	13422.7125
4_NA_peak_11450_lociStitched	17	74711885	74733889	4	8	14749.2812
6_NA_peak_86_lociStitched	1	2210977	2232930	6	12	11650.4571
4_NA_peak_4841_lociStitched	11	67034336	67056265	4	8	25354.3098
4_NA_peak_2303_lociStitched	1	180991791	181013719	4	8	7880.9232
5_NA_peak_606_lociStitched	1	28190234	28212007	5	10	16987.2946
3_NA_peak_13640_lociStitched	2	11273336	11295042	3	6	4037.316
4_NA_peak_9251_lociStitched	16	718477	740143	4	8	7804.0932
3_NA_peak_1514_lociStitched	1	109633538	109655137	3	6	6462.4208
4_NA_peak_18938_lociStitched	4	26199422	26221006	4	8	4597.392
6_NA_peak_11169_lociStitched	17	56408445	56429998	6	12	24749.3099
5_NA_peak_21091_lociStitched	6	21588987	21610529	5	10	12462.047
5_NA_peak_20856_lociStitched	6	2719421	2740935	5	10	15158.7644
3_NA_peak_24750_lociStitched	8	145180716	145202212	3	6	4516.3096
4_NA_peak_21262_lociStitched	6	28890659	28912147	4	8	7185.5872
3_NA_peak_13240_lociStitched	19	48927964	48949410	3	6	7613.33
3_NA_peak_19871_lociStitched	5	11212748	11234182	3	6	3536.61
4_NA_peak_11385_lociStitched	17	73106379	73127783	4	8	6181.4752
6_NA_peak_26188_lociStitched	X	30595352	30616664	6	12	27324.1152
3_NA_peak_5533_lociStitched	12	6314459	6335766	3	6	5345.9263
6_NA_peak_22837_lociStitched	7	75988544	76009839	6	12	4195.115
4_NA_peak_4402_lociStitched	11	33913129	33934380	4	8	10181.3541
4_NA_peak_12709_lociStitched	19	18263076	18284324	4	8	9731.584
4_NA_peak_25641_lociStitched	9	132586207	132607440	4	8	7444.2898
3_NA_peak_20103_lociStitched	5	58571611	58592830	3	6	4907.9547
4_NA_peak_2714_lociStitched	1	226905584	226926724	4	8	8470.798
4_NA_peak_14128_lociStitched	2	64938109	64959191	4	8	12720.8788
4_NA_peak_14199_lociStitched	2	70121395	70142465	4	8	7309.183
12_NA_peak_4538_lociStitched	11	51570115	51591172	12	24	90820.9467
4_NA_peak_15460_lociStitched	2	239314843	239335880	4	8	10030.4416
5_NA_peak_14462_lociStitched	2	99061157	99082120	5	10	10003.5436
5_NA_peak_24778_lociStitched	8	145669686	145690581	5	10	10706.598
3_NA_peak_2057_lociStitched	1	160068504	160089394	3	6	4178.0
5_NA_peak_5462_lociStitched	12	731479	752357	5	10	15151.1646
5_NA_peak_12557_lociStitched	19	13208513	13229387	5	10	12835.4226
3_NA_peak_20742_lociStitched	5	176833088	176853948	3	6	5886.692
5_NA_peak_7624_lociStitched	14	24891522	24912378	5	10	10315.3776
4_NA_peak_4137_lociStitched	11	1330689	1351544	4	8	3507.811
3_NA_peak_3869_lociStitched	10	104941557	104962409	3	6	14031.3108
4_NA_peak_25708_lociStitched	9	136202794	136223609	4	8	11194.307
4_NA_peak_4506_lociStitched	11	47270553	47291325	4	8	11850.426
3_NA_peak_16766_lociStitched	22	30701987	30722753	3	6	7849.548
4_NA_peak_26521_lociStitched	X	64808830	64829557	4	8	36618.3909
5_NA_peak_17221_lociStitched	3	10269619	10290308	5	10	12994.7609
7_NA_peak_13562_lociStitched	19	59050043	59070728	7	14	16934.8095
4_NA_peak_17703_lociStitched	3	52312493	52333172	4	8	13199.4057
3_NA_peak_15732_lociStitched	20	18548221	18568799	3	6	3383.0232
3_NA_peak_1288_lociStitched	1	77684948	77705492	3	6	2604.9792
4_NA_peak_10877_lociStitched	17	39802065	39822554	4	8	4388.7438
4_NA_peak_10623_lociStitched	17	25660232	25680666	4	8	12634.3422
6_NA_peak_21357_lociStitched	6	32143618	32163988	6	12	22963.101
3_NA_peak_26228_lociStitched	X	39610448	39630765	3	6	9020.748
3_NA_peak_10873_lociStitched	17	39256028	39276322	3	6	3454.0388
5_NA_peak_22940_lociStitched	7	99679133	99699400	5	10	5332.2477
4_NA_peak_6555_lociStitched	12	110317954	110338194	4	8	8923.816
3_NA_peak_8562_lociStitched	15	45110353	45130569	3	6	14579.7792
3_NA_peak_690_lociStitched	1	32334829	32355015	3	6	6045.707
4_NA_peak_19988_lociStitched	5	39156316	39176445	4	8	6429.2026
4_NA_peak_24783_lociStitched	8	145734231	145754314	4	8	12383.1778
5_NA_peak_12201_lociStitched	19	2041874	2061861	5	10	14802.3722
4_NA_peak_16995_lociStitched	22	42466596	42486564	4	8	10622.976
4_NA_peak_144_lociStitched	1	3797155	3817110	4	8	22301.708
4_NA_peak_11298_lociStitched	17	63761720	63781646	4	8	3371.4792
4_NA_peak_4459_lociStitched	11	44580967	44600879	4	8	12578.4104
4_NA_peak_4944_lociStitched	11	71810816	71830724	4	8	14923.0368
4_NA_peak_24727_lociStitched	8	144679504	144699411	4	8	19984.6373
4_NA_peak_18580_lociStitched	3	184190599	184210331	4	8	7168.6356
3_NA_peak_2417_lociStitched	1	199151393	199171124	3	6	5402.3478
3_NA_peak_53_lociStitched	1	1590596	1610261	3	6	22868.4285
4_NA_peak_4945_lociStitched	11	71916435	71936087	4	8	7355.7436
5_NA_peak_25602_lociStitched	9	131446309	131465887	5	10	9967.1598
6_NA_peak_3328_lociStitched	10	43617006	43636540	6	12	7133.8168
4_NA_peak_556_lociStitched	1	26946653	26966176	4	8	13527.4867
3_NA_peak_2432_lociStitched	1	200200560	200220010	3	6	6426.28
5_NA_peak_26238_lociStitched	X	39949455	39968877	5	10	9666.3294
7_NA_peak_4618_lociStitched	11	61583677	61603086	7	14	10290.6518
3_NA_peak_9053_lociStitched	15	86018194	86037550	3	6	4339.6152
5_NA_peak_25567_lociStitched	9	130546236	130565533	5	10	11037.884
4_NA_peak_11971_lociStitched	18	51776985	51796136	4	8	6580.2836
5_NA_peak_864_lociStitched	1	40461319	40480440	5	10	6164.6104
4_NA_peak_19221_lociStitched	4	77910326	77929434	4	8	10486.4704
4_NA_peak_12980_lociStitched	19	39881632	39900687	4	8	24199.85
3_NA_peak_10947_lociStitched	17	41381809	41400799	3	6	13236.03
4_NA_peak_25512_lociStitched	9	127021892	127040875	4	8	9759.1603
3_NA_peak_5742_lociStitched	12	15680553	15699517	3	6	3297.8396
4_NA_peak_25331_lociStitched	9	100800223	100819181	4	8	8908.3642
5_NA_peak_15129_lociStitched	2	198299565	198318440	5	10	12278.1875
4_NA_peak_24559_lociStitched	8	134086809	134105635	4	8	18556.7882
3_NA_peak_25142_lociStitched	9	74244841	74263651	3	6	8643.195
5_NA_peak_5546_lociStitched	12	6561406	6580212	5	10	11909.8398
4_NA_peak_12582_lociStitched	19	14134929	14153671	4	8	7303.7574
5_NA_peak_23726_lociStitched	8	66824390	66843073	5	10	16517.6403
3_NA_peak_5872_lociStitched	12	31881644	31900325	3	6	10904.0997
4_NA_peak_6634_lociStitched	12	113841717	113860357	4	8	7489.552
5_NA_peak_694_lociStitched	1	32403600	32422206	5	10	20345.661
4_NA_peak_4594_lociStitched	11	60145449	60164055	4	8	5609.709
4_NA_peak_9274_lociStitched	16	1576701	1595192	4	8	7457.4203
4_NA_peak_16221_lociStitched	20	62478403	62496852	4	8	14259.2321
4_NA_peak_8160_lociStitched	14	92997420	93015865	4	8	8918.1575
4_NA_peak_15821_lociStitched	20	30191938	30210381	4	8	6089.8786
4_NA_peak_638_lociStitched	1	28763856	28782280	4	8	14411.2528
5_NA_peak_18990_lociStitched	4	38745282	38763687	5	10	6894.513
5_NA_peak_3188_lociStitched	10	26719714	26738103	5	10	11136.3784
5_NA_peak_17394_lociStitched	3	32426386	32444766	5	10	11665.786
4_NA_peak_839_lociStitched	1	39663627	39682003	4	8	23107.82
4_NA_peak_20576_lociStitched	5	148441888	148460236	4	8	5561.2788
3_NA_peak_23945_lociStitched	8	90849840	90868175	3	6	8848.471
5_NA_peak_5333_lociStitched	11	118955703	118974022	5	10	12334.1827
4_NA_peak_16628_lociStitched	22	20308025	20326339	4	8	3543.759
3_NA_peak_12686_lociStitched	19	17562165	17580466	3	6	4044.521
3_NA_peak_13686_lociStitched	2	20171318	20189619	3	6	4798.5222
5_NA_peak_16464_lociStitched	21	43916229	43934516	5	10	7993.2477
3_NA_peak_9301_lociStitched	16	2255585	2273850	3	6	6082.245
3_NA_peak_24973_lociStitched	9	35096444	35114702	3	6	14730.5544
4_NA_peak_7331_lociStitched	13	77901031	77919276	4	8	9584.0985
3_NA_peak_11381_lociStitched	17	73073753	73091991	3	6	5963.826
6_NA_peak_14123_lociStitched	2	64863449	64881643	6	12	17659.0964
3_NA_peak_25964_lociStitched	X	148469	166663	3	6	4613.9984
4_NA_peak_4308_lociStitched	11	14647360	14665506	4	8	5046.4026
4_NA_peak_7174_lociStitched	13	48718931	48737062	4	8	11527.6898
3_NA_peak_8699_lociStitched	15	59646802	59664908	3	6	5482.4968
3_NA_peak_9994_lociStitched	16	69788595	69806668	3	6	5559.2548
5_NA_peak_981_lociStitched	1	45187723	45205767	5	10	16672.656
3_NA_peak_17157_lociStitched	3	4783451	4801484	3	6	6196.1388
9_NA_peak_3316_lociStitched	10	42528058	42546082	9	18	105225.9144
5_NA_peak_20721_lociStitched	5	175857762	175875765	5	10	11575.929
3_NA_peak_8770_lociStitched	15	65578907	65596887	3	6	9538.39
3_NA_peak_14359_lociStitched	2	87884085	87902065	3	6	4557.93
4_NA_peak_24159_lociStitched	8	103801085	103819062	4	8	16427.3826
4_NA_peak_16107_lociStitched	20	52258868	52276797	4	8	10723.3349
3_NA_peak_19186_lociStitched	4	74904393	74922308	3	6	4548.6185
3_NA_peak_24519_lociStitched	8	130587878	130605780	3	6	32646.0872
5_NA_peak_10647_lociStitched	17	27038001	27055877	5	10	10625.4944
3_NA_peak_17507_lociStitched	3	43204258	43222103	3	6	4843.133
4_NA_peak_25886_lociStitched	GL000214.1	118582	136397	4	8	14360.6715
5_NA_peak_24179_lociStitched	8	104366119	104383911	5	10	8449.4208
3_NA_peak_14612_lociStitched	2	113975618	113993407	3	6	9575.8187
3_NA_peak_23864_lociStitched	8	82042877	82060621	3	6	11899.1264
3_NA_peak_2068_lociStitched	1	160492840	160510570	3	6	5927.139
4_NA_peak_11400_lociStitched	17	73567237	73584948	4	8	5532.9164
3_NA_peak_3742_lociStitched	10	97649793	97667498	3	6	4098.7075
4_NA_peak_11196_lociStitched	17	57864976	57882665	4	8	11986.0664
4_NA_peak_2107_lociStitched	1	161351680	161369348	4	8	7823.3904
4_NA_peak_26203_lociStitched	X	37605136	37622792	4	8	8607.3
3_NA_peak_24350_lociStitched	8	120868489	120886138	3	6	10944.1449
4_NA_peak_6818_lociStitched	12	125348171	125365784	4	8	8146.0125
3_NA_peak_25981_lociStitched	X	1351515	1369105	3	6	8147.688
10_NA_peak_23489_lociStitched	8	43821117	43838650	10	20	49337.862
5_NA_peak_11603_lociStitched	17	80477220	80494749	5	10	7914.3435
3_NA_peak_17207_lociStitched	3	10050727	10068219	3	6	4575.9072
5_NA_peak_12211_lociStitched	19	2151274	2168724	5	10	9084.47
4_NA_peak_10950_lociStitched	17	41428141	41445586	4	8	9186.537
4_NA_peak_9499_lociStitched	16	19125087	19142524	4	8	7529.2966
3_NA_peak_8273_lociStitched	14	105144387	105161816	3	6	9432.5748
3_NA_peak_16762_lociStitched	22	30662117	30679535	3	6	7061.2572
6_NA_peak_4659_lociStitched	11	62521515	62538891	6	12	5803.584
5_NA_peak_9629_lociStitched	16	29464924	29482275	5	10	7415.8174
3_NA_peak_21240_lociStitched	6	28092443	28109776	3	6	6796.2693
4_NA_peak_11306_lociStitched	17	65356576	65373898	4	8	7812.222
4_NA_peak_11505_lociStitched	17	76912152	76929445	4	8	8732.965
4_NA_peak_24141_lociStitched	8	103407371	103424661	4	8	24493.014
4_NA_peak_24081_lociStitched	8	101163020	101180301	4	8	16238.9557
3_NA_peak_2703_lociStitched	1	226298301	226315569	3	6	5161.4052
3_NA_peak_21173_lociStitched	6	26305279	26322480	3	6	4733.7152
3_NA_peak_6613_lociStitched	12	112546381	112563524	3	6	5029.7562
5_NA_peak_12152_lociStitched	19	1021397	1038508	5	10	6722.9119
4_NA_peak_20530_lociStitched	5	139927551	139944578	4	8	3691.4536
3_NA_peak_7663_lociStitched	14	35008728	35025714	3	6	20021.3982
5_NA_peak_8295_lociStitched	14	105940774	105957757	5	10	18766.215
3_NA_peak_9586_lociStitched	16	27379243	27396203	3	6	3754.944
3_NA_peak_1071_lociStitched	1	51762914	51779857	3	6	5382.7911
4_NA_peak_19105_lociStitched	4	56195710	56212619	4	8	6056.8038
5_NA_peak_5636_lociStitched	12	9470805	9487713	5	10	4722.4044
5_NA_peak_9665_lociStitched	16	30194422	30211280	5	10	11171.7966
3_NA_peak_23779_lociStitched	8	68864532	68881378	3	6	34483.762
3_NA_peak_13121_lociStitched	19	45579535	45596315	3	6	7487.236
4_NA_peak_16515_lociStitched	21	45970030	45986800	4	8	15091.323
3_NA_peak_295_lociStitched	1	11779708	11796359	3	6	8460.3731
3_NA_peak_11184_lociStitched	17	57442958	57459549	3	6	9506.643
3_NA_peak_20461_lociStitched	5	131746453	131763011	3	6	8520.7468
4_NA_peak_6170_lociStitched	12	57023708	57040261	4	8	10479.7043
4_NA_peak_12428_lociStitched	19	9929610	9946154	4	8	5487.6448
4_NA_peak_14297_lociStitched	2	85116481	85133012	4	8	3458.2852
3_NA_peak_16909_lociStitched	22	39457038	39473554	3	6	12472.8832
3_NA_peak_12638_lociStitched	19	16181311	16197785	3	6	9673.5328
3_NA_peak_5952_lociStitched	12	48196802	48213270	3	6	17189.2984
4_NA_peak_20982_lociStitched	6	12044997	12061423	4	8	6220.5262
3_NA_peak_2118_lociStitched	1	161494105	161510489	3	6	4795.5968
4_NA_peak_25528_lociStitched	9	127615773	127632114	4	8	12397.9167
3_NA_peak_3507_lociStitched	10	71078232	71094558	3	6	6043.8852
5_NA_peak_17292_lociStitched	3	15837289	15853569	5	10	25015.848
5_NA_peak_6857_lociStitched	12	133005993	133022269	5	10	6923.8104
8_NA_peak_23502_lociStitched	8	46839177	46855431	8	16	82992.924
4_NA_peak_20822_lociStitched	5	180634279	180650467	4	8	5006.9484
5_NA_peak_26160_lociStitched	X	23785337	23801508	5	10	16628.6393
3_NA_peak_24890_lociStitched	9	20605065	20621216	3	6	4391.4569
4_NA_peak_18410_lociStitched	3	156382397	156398543	4	8	5838.3936
3_NA_peak_4147_lociStitched	11	1910963	1927106	3	6	7890.6984
3_NA_peak_2032_lociStitched	1	157108434	157124574	3	6	4645.092
3_NA_peak_23271_lociStitched	7	158640478	158656603	3	6	3784.5375
4_NA_peak_12844_lociStitched	19	33778296	33794415	4	8	9822.9186
6_NA_peak_21938_lociStitched	6	111180628	111196699	6	12	11346.126
4_NA_peak_15281_lociStitched	2	219181241	219197287	4	8	14306.6136
3_NA_peak_9000_lociStitched	15	81276996	81293020	3	6	7473.5936
3_NA_peak_12157_lociStitched	19	1088347	1104366	3	6	7905.3765
4_NA_peak_8832_lociStitched	15	69744713	69760721	4	8	4800.7992
3_NA_peak_17548_lociStitched	3	45672393	45688351	3	6	7262.4858
3_NA_peak_26855_lociStitched	X	153770673	153786559	3	6	4392.479
3_NA_peak_12163_lociStitched	19	1189427	1205312	3	6	3640.842
4_NA_peak_11950_lociStitched	18	47002742	47018611	4	8	11716.0827
3_NA_peak_13523_lociStitched	19	58315506	58331283	3	6	4356.0297
4_NA_peak_26592_lociStitched	X	77150686	77166450	4	8	5022.4104
4_NA_peak_18785_lociStitched	4	1857650	1873407	4	8	5518.1014
3_NA_peak_12147_lociStitched	19	909813	925559	3	6	5766.1852
8_NA_peak_10613_lociStitched	17	22245610	22261222	8	16	44469.2208
3_NA_peak_12642_lociStitched	19	16244763	16260362	3	6	12625.8306
4_NA_peak_25991_lociStitched	X	1571612	1587188	4	8	7339.4112
5_NA_peak_4219_lociStitched	11	6624663	6640237	5	10	10635.4846
