#NA_summits Enhancers
#Created from peak_called/NA_summits_12KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by mapped_sorted.bam
#Using cutoff of 6537.8504 for Super-Enhancers
#Created on mar 31 2019 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	mapped_sorted.bam	enhancerRank	isSuper
4_NA_peak_13111_lociStitched	19	39390992	39410046	4	8	24116.6478	51	1
6_NA_peak_20924_lociStitched	5	172765090	172789064	6	12	23993.1792	52	1
7_NA_peak_13545_lociStitched	19	54179686	54208657	7	14	23912.6634	53	1
8_NA_peak_11520_lociStitched	17	75832525	75873240	8	16	23740.9165	54	1
2_NA_peak_26487_lociStitched	X	41333455	41335270	2	4	23718.6015	55	1
3_NA_peak_56_lociStitched	1	1659135	1678822	3	6	23592.9008	56	1
4_NA_peak_837_lociStitched	1	39197950	39216332	4	8	23080.4392	57	1
4_NA_peak_24473_lociStitched	8	107485928	107496215	4	8	23023.3347	58	1
6_NA_peak_21600_lociStitched	6	32175840	32196210	6	12	22873.473	59	1
2_NA_peak_23948_lociStitched	8	65830193	65842378	2	4	22782.2945	60	1
7_NA_peak_19441_lociStitched	4	81471659	81505054	7	14	22762.032	61	1
3_NA_peak_24750_lociStitched	8	129643165	129665461	3	6	22485.516	62	1
4_NA_peak_148_lociStitched	1	3880592	3900546	4	8	22212.7928	63	1
3_NA_peak_24463_lociStitched	8	107306184	107315152	3	6	22133.9208	64	1
7_NA_peak_21406_lociStitched	6	26172307	26217049	7	14	22075.7028	65	1
7_NA_peak_2130_lociStitched	1	161154146	161186609	7	14	21743.7174	66	1
4_NA_peak_24850_lociStitched	8	140457524	140465823	4	8	21592.3382	67	1
7_NA_peak_10493_lociStitched	17	7552678	7583959	7	14	21527.5842	68	1
7_NA_peak_622_lociStitched	1	28232811	28260361	7	14	21475.225	69	1
7_NA_peak_13138_lociStitched	19	40410407	40444975	7	14	21445.9872	70	1
3_NA_peak_4813_lociStitched	11	65419488	65430146	3	6	21060.208	71	1
4_NA_peak_24617_lociStitched	8	123072780	123096598	4	8	20733.569	72	1
4_NA_peak_24879_lociStitched	8	141149985	141164541	4	8	20643.3192	73	1
3_NA_peak_24176_lociStitched	8	89974928	89984527	3	6	20400.7547	74	1
3_NA_peak_23983_lociStitched	8	67055173	67064610	3	6	20305.5929	75	1
6_NA_peak_10471_lociStitched	17	7238138	7261441	6	12	20275.9403	76	1
5_NA_peak_691_lociStitched	1	31937999	31956606	5	10	20274.1872	77	1
6_NA_peak_3830_lociStitched	10	97401057	97426449	6	12	20234.8848	78	1
6_NA_peak_1984_lociStitched	1	154955624	154983480	6	12	20162.1728	79	1
8_NA_peak_17850_lociStitched	3	50321625	50359346	8	16	20078.8883	80	1
6_NA_peak_5639_lociStitched	12	6927823	6953359	6	12	20071.296	81	1
5_NA_peak_25916_lociStitched	9	133103092	133134265	5	10	20022.4179	82	1
4_NA_peak_83_lociStitched	1	2227520	2256051	4	8	20011.6434	83	1
3_NA_peak_7727_lociStitched	14	34539522	34556508	3	6	19970.4402	84	1
4_NA_peak_24954_lociStitched	8	143597335	143617236	4	8	19889.0594	85	1
8_NA_peak_6839_lociStitched	12	123432263	123458375	8	16	19602.2784	86	1
5_NA_peak_24115_lociStitched	8	85764642	85804810	5	10	19425.2448	87	1
4_NA_peak_10630_lociStitched	17	17824189	17849953	4	8	19353.9168	88	1
2_NA_peak_966_lociStitched	1	44407133	44417972	2	4	19271.742	89	1
2_NA_peak_180_lociStitched	1	6349088	6359495	2	4	19194.6708	90	1
6_NA_peak_13593_lociStitched	19	55624483	55655239	6	12	19111.7784	91	1
4_NA_peak_6812_lociStitched	12	122871639	122895754	4	8	19026.735	92	1
4_NA_peak_6227_lociStitched	12	56677124	56700525	4	8	19025.013	93	1
6_NA_peak_12648_lociStitched	19	12775389	12806719	6	12	18989.113	94	1
5_NA_peak_8360_lociStitched	14	105474437	105491421	5	10	18699.384	95	1
5_NA_peak_6783_lociStitched	12	121789680	121803079	5	10	18518.7579	96	1
4_NA_peak_24790_lociStitched	8	133074564	133093397	4	8	18510.9557	97	1
7_NA_peak_16104_lociStitched	20	44960083	44992933	7	14	18409.14	98	1
5_NA_peak_21572_lociStitched	6	31727314	31739328	5	10	18404.2466	99	1
7_NA_peak_12662_lociStitched	19	12933584	12983430	7	14	18074.1596	100	1
5_NA_peak_2059_lociStitched	1	156728565	156752264	5	10	18051.5283	101	1
6_NA_peak_8487_lociStitched	15	32561099	32595478	6	12	17945.838	102	1
5_NA_peak_16401_lociStitched	21	8218229	8234515	5	10	17774.5404	103	1
6_NA_peak_14253_lociStitched	2	64636314	64654526	6	12	17645.6068	104	1
10_NA_peak_12392_lociStitched	19	4059037	4090261	10	20	17388.6456	105	1
5_NA_peak_80_lociStitched	1	2189873	2212416	5	10	17387.4159	106	1
5_NA_peak_11597_lociStitched	17	78736210	78759794	5	10	17329.5232	107	1
3_NA_peak_6005_lociStitched	12	47803018	47819479	3	6	17109.5634	108	1
6_NA_peak_13837_lociStitched	2	23905236	23927454	6	12	17101.1946	109	1
3_NA_peak_21784_lociStitched	6	42770785	42783282	3	6	17070.902	110	1
7_NA_peak_5380_lociStitched	11	118912832	118940255	7	14	17026.9407	111	1
3_NA_peak_8063_lociStitched	14	75247469	75259529	3	6	17014.248	112	1
5_NA_peak_605_lociStitched	1	27863722	27885496	5	10	16981.5426	113	1
7_NA_peak_13693_lociStitched	19	58538676	58559361	7	14	16870.686	114	1
5_NA_peak_2047_lociStitched	1	156490419	156505681	5	10	16829.4074	115	1
5_NA_peak_982_lociStitched	1	44722051	44740095	5	10	16618.524	116	1
6_NA_peak_5676_lociStitched	12	8675462	8709550	6	12	16604.2648	117	1
5_NA_peak_26374_lociStitched	X	23767220	23783387	5	10	16555.008	118	1
3_NA_peak_24468_lociStitched	8	107332742	107343917	3	6	16543.47	119	1
3_NA_peak_23823_lociStitched	8	55879550	55885961	3	6	16526.9169	120	1
5_NA_peak_23953_lociStitched	8	65912153	65930845	5	10	16475.1288	121	1
6_NA_peak_12723_lociStitched	19	14496330	14529696	6	12	16402.7256	122	1
4_NA_peak_24378_lociStitched	8	102788859	102806826	4	8	16292.4756	123	1
6_NA_peak_875_lociStitched	1	40373924	40387716	6	12	16291.1104	124	1
3_NA_peak_24921_lociStitched	8	143018700	143026765	3	6	16251.7815	125	1
4_NA_peak_24300_lociStitched	8	100150782	100168051	4	8	16203.5027	126	1
3_NA_peak_23697_lociStitched	8	42265664	42280312	3	6	16164.068	127	1
5_NA_peak_24804_lociStitched	8	133519048	133527122	5	10	16152.8444	128	1
4_NA_peak_217_lociStitched	1	8423595	8449196	4	8	16141.4305	129	1
5_NA_peak_12715_lociStitched	19	14370420	14384259	5	10	16043.5527	130	1
6_NA_peak_26060_lociStitched	GL000220.1	97284	119993	6	12	15814.5476	131	1
5_NA_peak_4697_lociStitched	11	62591371	62621963	5	10	15730.4064	132	1
5_NA_peak_7986_lociStitched	14	68793708	68816616	5	10	15529.3332	133	1
3_NA_peak_26713_lociStitched	X	65601449	65609677	3	6	15373.1952	134	1
6_NA_peak_26986_lociStitched	X	149503330	149525943	6	12	15336.1366	135	1
4_NA_peak_14409_lociStitched	2	74549237	74573439	4	8	15259.361	136	1
3_NA_peak_3080_lociStitched	10	11165748	11179702	3	6	15163.8118	137	1
3_NA_peak_102_lociStitched	1	2548527	2556496	3	6	15132.3341	138	1
5_NA_peak_21096_lociStitched	6	2719187	2740701	5	10	15122.1906	139	1
5_NA_peak_5517_lociStitched	12	622312	643193	5	10	15090.6987	140	1
2_NA_peak_814_lociStitched	1	37921809	37931612	2	4	15077.9943	141	1
4_NA_peak_16691_lociStitched	21	44550134	44566916	4	8	15046.7412	142	1
4_NA_peak_545_lociStitched	1	26278474	26291167	4	8	15018.3576	143	1
6_NA_peak_21114_lociStitched	6	2841614	2884110	6	12	14937.344	144	1
3_NA_peak_13158_lociStitched	19	41297988	41310282	3	6	14890.4928	145	1
4_NA_peak_4999_lociStitched	11	72099770	72119677	4	8	14866.5476	146	1
6_NA_peak_21826_lociStitched	6	44237896	44265455	6	12	14796.4271	147	1
4_NA_peak_13435_lociStitched	19	49867490	49877788	4	8	14781.7492	148	1
3_NA_peak_2835_lociStitched	1	234600024	234611293	3	6	14753.3748	149	1
5_NA_peak_12310_lociStitched	19	2041875	2061862	5	10	14748.4073	150	1
6_NA_peak_344_lociStitched	1	15515970	15526977	6	12	14744.9772	151	1
4_NA_peak_15513_lociStitched	2	233060013	233083419	4	8	14731.7364	152	1
3_NA_peak_25017_lociStitched	8	144787150	144798672	3	6	14729.7248	153	1
4_NA_peak_11558_lociStitched	17	76715803	76737810	4	8	14707.2781	154	1
3_NA_peak_25201_lociStitched	9	35096447	35114705	3	6	14683.0836	155	1
6_NA_peak_21657_lociStitched	6	34224428	34249424	6	12	14672.652	156	1
4_NA_peak_26176_lociStitched	X	272581	283614	4	8	14599.9689	157	1
4_NA_peak_10470_lociStitched	17	7205124	7220268	4	8	14533.6968	158	1
3_NA_peak_8632_lociStitched	15	44818155	44838371	3	6	14504.98	159	1
5_NA_peak_24810_lociStitched	8	133568248	133576048	5	10	14458.08	160	1
3_NA_peak_24215_lociStitched	8	94896582	94905671	3	6	14407.8828	161	1
4_NA_peak_636_lociStitched	1	28437345	28455769	4	8	14344.9264	162	1
5_NA_peak_16323_lociStitched	20	62914638	62938227	5	10	14320.8819	163	1
4_NA_peak_4193_lociStitched	11	795995	819927	4	8	14258.6856	164	1
4_NA_peak_15385_lociStitched	2	218316518	218332567	4	8	14245.0924	165	1
4_NA_peak_18909_lociStitched	3	196631972	196640760	4	8	14213.7112	166	1
4_NA_peak_16346_lociStitched	20	63847051	63865496	4	8	14204.4945	167	1
3_NA_peak_3926_lociStitched	10	103181800	103202653	3	6	14036.1543	168	1
4_NA_peak_13568_lociStitched	19	55248211	55259638	4	8	13942.0827	169	1
4_NA_peak_18897_lociStitched	3	196500950	196512739	4	8	13808.4557	170	1
3_NA_peak_6633_lociStitched	12	110583043	110591723	3	6	13743.912	171	1
6_NA_peak_21437_lociStitched	6	27126853	27157451	6	12	13567.1532	172	1
2_NA_peak_26545_lociStitched	X	45758846	45767526	2	4	13495.664	173	1
4_NA_peak_555_lociStitched	1	26620162	26639685	4	8	13492.3453	174	1
8_NA_peak_4702_lociStitched	11	62646447	62678914	8	16	13486.7918	175	1
3_NA_peak_4579_lociStitched	11	47393671	47407381	3	6	13461.849	176	1
4_NA_peak_190_lociStitched	1	6603263	6625357	4	8	13380.1264	177	1
6_NA_peak_7575_lociStitched	14	20454940	20478262	6	12	13349.5128	178	1
3_NA_peak_24227_lociStitched	8	95130486	95145614	3	6	13286.9224	179	1
6_NA_peak_21543_lociStitched	6	31186335	31216513	6	12	13278.32	180	1
4_NA_peak_11020_lociStitched	17	42998642	43024841	4	8	13243.5945	181	1
3_NA_peak_2917_lociStitched	1	246566608	246578497	3	6	13240.7793	182	1
2_NA_peak_103_lociStitched	1	2578245	2586224	2	4	13233.1715	183	1
4_NA_peak_26278_lociStitched	X	12947165	12957513	4	8	13211.2916	184	1
4_NA_peak_18324_lociStitched	3	127750218	127775917	4	8	13163.0278	185	1
7_NA_peak_4852_lociStitched	11	65893700	65928670	7	14	13155.714	186	1
4_NA_peak_17887_lociStitched	3	52278478	52299156	4	8	13142.9368	187	1
3_NA_peak_24404_lociStitched	8	103438601	103446083	3	6	13105.4712	188	1
4_NA_peak_24986_lociStitched	8	144291247	144303529	4	8	13053.3096	189	1
2_NA_peak_8929_lociStitched	15	72462225	72474574	2	4	13038.0742	190	1
6_NA_peak_10857_lociStitched	17	35560453	35587634	6	12	12951.7465	191	1
5_NA_peak_17400_lociStitched	3	10227935	10248623	5	10	12930	192	1
4_NA_peak_9224_lociStitched	15	92808637	92831095	4	8	12908.8584	193	1
3_NA_peak_122_lociStitched	1	3170992	3182281	3	6	12879.6201	194	1
3_NA_peak_25459_lociStitched	9	89310573	89318656	3	6	12851.1617	195	1
5_NA_peak_25237_lociStitched	9	36142936	36155014	5	10	12844.953	196	1
7_NA_peak_26080_lociStitched	GL000225.1	50848	86514	7	14	12786.261	197	1
8_NA_peak_26050_lociStitched	GL000216.2	142481	173841	8	16	12769.792	198	1
4_NA_peak_21528_lociStitched	6	30615429	30627008	4	8	12767.0054	199	1
4_NA_peak_11297_lociStitched	17	59828993	59838569	4	8	12745.656	200	1
8_NA_peak_2031_lociStitched	1	156097034	156126718	8	16	12743.3412	201	1
5_NA_peak_12668_lociStitched	19	13097699	13118572	5	10	12730.4427	202	1
4_NA_peak_25221_lociStitched	9	35635825	35658149	4	8	12717.9828	203	1
3_NA_peak_24863_lociStitched	8	140635994	140646731	3	6	12715.8291	204	1
4_NA_peak_14261_lociStitched	2	64710975	64732057	4	8	12672.3902	205	1
3_NA_peak_24965_lociStitched	8	143942485	143952572	3	6	12627.9153	206	1
4_NA_peak_11176_lociStitched	17	49676096	49688412	4	8	12594.3416	207	1
7_NA_peak_20265_lociStitched	5	49602070	49630954	7	14	12590.5356	208	1
4_NA_peak_13530_lociStitched	19	53867335	53879722	4	8	12565.3728	209	1
3_NA_peak_12751_lociStitched	19	16133953	16149556	3	6	12558.8547	210	1
3_NA_peak_10708_lociStitched	17	27333206	27353636	3	6	12552.192	211	1
4_NA_peak_4526_lociStitched	11	44559417	44579329	4	8	12544.56	212	1
5_NA_peak_10938_lociStitched	17	40098820	40122246	5	10	12523.5396	213	1
3_NA_peak_868_lociStitched	1	40152789	40161611	3	6	12520.1824	214	1
3_NA_peak_9179_lociStitched	15	90388441	90401415	3	6	12492.6646	215	1
7_NA_peak_13356_lociStitched	19	48249086	48271303	7	14	12472.6238	216	1
5_NA_peak_21331_lociStitched	6	21588755	21610298	5	10	12430.311	217	1
3_NA_peak_15262_lociStitched	2	201116401	201129043	3	6	12399.2736	218	1
5_NA_peak_2617_lociStitched	1	211578967	211613321	5	10	12374.3108	219	1
4_NA_peak_20273_lociStitched	5	49658657	49667229	4	8	12352.252	220	1
3_NA_peak_11680_lociStitched	17	81860372	81871657	3	6	12348.047	221	1
4_NA_peak_25744_lociStitched	9	124853494	124869835	4	8	12337.455	222	1
4_NA_peak_25009_lociStitched	8	144508848	144528930	4	8	12336.3726	223	1
5_NA_peak_5390_lociStitched	11	119084993	119103311	5	10	12306.0324	224	1
3_NA_peak_17089_lociStitched	22	39061033	39077492	3	6	12304.7484	225	1
4_NA_peak_4252_lociStitched	11	3784935	3808387	4	8	12302.9192	226	1
5_NA_peak_15235_lociStitched	2	197434839	197453716	5	10	12262.4992	227	1
3_NA_peak_21154_lociStitched	6	6712848	6724477	3	6	12245.337	228	1
5_NA_peak_9380_lociStitched	16	2513803	2538208	5	10	12243.9885	229	1
3_NA_peak_2539_lociStitched	1	204507396	204516583	3	6	12227.897	230	1
4_NA_peak_12643_lociStitched	19	12722350	12737391	4	8	12199.7551	231	1
5_NA_peak_16224_lociStitched	20	53608922	53623926	5	10	12189.2496	232	1
4_NA_peak_26670_lociStitched	X	53422393	53434621	4	8	12136.29	233	1
4_NA_peak_24647_lociStitched	8	124247311	124263304	4	8	12087.5094	234	1
5_NA_peak_356_lociStitched	1	15835579	15849722	5	10	12069.6362	235	1
7_NA_peak_9728_lociStitched	16	30053529	30076283	7	14	11982.2564	236	1
4_NA_peak_11291_lociStitched	17	59787615	59805335	4	8	11948.596	237	1
4_NA_peak_2962_lociStitched	10	931143	955253	4	8	11929.628	238	1
6_NA_peak_25844_lociStitched	9	129460907	129489824	6	12	11916.6957	239	1
4_NA_peak_23691_lociStitched	8	42140595	42153361	4	8	11904.295	240	1
5_NA_peak_17679_lociStitched	3	42581808	42611500	5	10	11885.7076	241	1
2_NA_peak_16221_lociStitched	20	53581604	53593506	2	4	11881.7666	242	1
5_NA_peak_5609_lociStitched	12	6452240	6471046	5	10	11864.7054	243	1
4_NA_peak_6197_lociStitched	12	56103990	56118672	4	8	11855.715	244	1
3_NA_peak_24086_lociStitched	8	81130643	81148374	3	6	11840.7618	245	1
4_NA_peak_24169_lociStitched	8	89834608	89855984	4	8	11840.1664	246	1
3_NA_peak_5430_lociStitched	11	123062005	123070635	3	6	11822.237	247	1
5_NA_peak_4574_lociStitched	11	47249002	47269774	5	10	11804.7276	248	1
3_NA_peak_23955_lociStitched	8	65945817	65952537	3	6	11774.784	249	1
3_NA_peak_24781_lociStitched	8	132760508	132775586	3	6	11732.1918	250	1
3_NA_peak_19210_lociStitched	4	40303085	40316640	3	6	11719.653	251	1
5_NA_peak_26118_lociStitched	KI270709.1	3760	13896	5	10	11719.2432	252	1
4_NA_peak_14271_lociStitched	2	64841292	64865255	4	8	11686.7551	253	1
4_NA_peak_12057_lociStitched	18	49476373	49492242	4	8	11677.9971	254	1
3_NA_peak_24134_lociStitched	8	87916386	87918426	3	6	11664.108	255	1
4_NA_peak_497_lociStitched	1	24722614	24745769	4	8	11663.1735	256	1
6_NA_peak_90_lociStitched	1	2279537	2301506	6	12	11652.3576	257	1
3_NA_peak_5760_lociStitched	12	12717043	12724328	3	6	11641.43	258	1
5_NA_peak_17576_lociStitched	3	32384894	32403279	5	10	11634.028	259	1
3_NA_peak_547_lociStitched	1	26306412	26319161	3	6	11606.6896	260	1
2_NA_peak_640_lociStitched	1	28506787	28518383	2	4	11592.5212	261	1
3_NA_peak_5357_lociStitched	11	118241448	118264241	3	6	11567.4475	262	1
3_NA_peak_23866_lociStitched	8	59055325	59066074	3	6	11565.924	263	1
4_NA_peak_24873_lociStitched	8	141119116	141128774	4	8	11539.3784	264	1
5_NA_peak_9363_lociStitched	16	1959796	1984381	5	10	11505.78	265	1
4_NA_peak_10867_lociStitched	17	36183485	36203302	4	8	11474.043	266	1
5_NA_peak_20957_lociStitched	5	176430760	176448759	5	10	11468.9628	267	1
4_NA_peak_7232_lociStitched	13	48144796	48162926	4	8	11465.412	268	1
5_NA_peak_19140_lociStitched	4	26857291	26885585	5	10	11461.8994	269	1
2_NA_peak_15484_lociStitched	2	231605098	231614692	2	4	11445.642	270	1
3_NA_peak_1888_lociStitched	1	150999617	151008750	3	6	11432.6894	271	1
5_NA_peak_4689_lociStitched	11	62551417	62556173	5	10	11415.8268	272	1
3_NA_peak_16572_lociStitched	21	37359167	37366963	3	6	11359.5516	273	1
4_NA_peak_24976_lociStitched	8	144095286	144104667	4	8	11340.6909	274	1
3_NA_peak_8773_lociStitched	15	59679097	59689811	3	6	11339.6976	275	1
6_NA_peak_22183_lociStitched	6	110859425	110875496	6	12	11289.8775	276	1
2_NA_peak_4459_lociStitched	11	33257586	33267075	2	4	11187.531	277	1
4_NA_peak_25926_lociStitched	9	133335957	133356733	4	8	11152.5568	278	1
5_NA_peak_12345_lociStitched	19	2770807	2785782	5	10	11151.8825	279	1
4_NA_peak_8535_lociStitched	15	40324060	40335363	4	8	11139.1065	280	1
2_NA_peak_24373_lociStitched	8	102654665	102662968	2	4	11131.8321	281	1
5_NA_peak_9738_lociStitched	16	30183101	30199959	5	10	11082.4492	282	1
4_NA_peak_24628_lociStitched	8	123477156	123502458	4	8	11074.6854	283	1
5_NA_peak_3231_lociStitched	10	26430785	26449162	5	10	11070.3048	284	1
6_NA_peak_13406_lociStitched	19	49451630	49474394	6	12	11042.8164	285	1
5_NA_peak_25784_lociStitched	9	127783957	127803254	5	10	10995.4306	286	1
3_NA_peak_6242_lociStitched	12	57479394	57488199	3	6	10956.0615	287	1
3_NA_peak_16734_lociStitched	21	46621606	46635365	3	6	10949.4122	288	1
3_NA_peak_21615_lociStitched	6	32838656	32853949	3	6	10943.6708	289	1
3_NA_peak_42_lociStitched	1	1398959	1407538	3	6	10923.6407	290	1
3_NA_peak_24577_lociStitched	8	119856249	119873898	3	6	10915.9065	291	1
3_NA_peak_22231_lociStitched	6	116450306	116464834	3	6	10907.6224	292	1
3_NA_peak_803_lociStitched	1	37474740	37486924	3	6	10882.7488	293	1
3_NA_peak_13428_lociStitched	19	49813433	49817807	3	6	10874.2014	294	1
3_NA_peak_5924_lociStitched	12	31728711	31747391	3	6	10866.156	295	1
3_NA_peak_6923_lociStitched	12	132761466	132770756	3	6	10861.868	296	1
3_NA_peak_24592_lociStitched	8	120804139	120811844	3	6	10858.6565	297	1
4_NA_peak_23903_lociStitched	8	60899647	60912176	4	8	10826.3089	298	1
7_NA_peak_14400_lociStitched	2	74455236	74482769	7	14	10823.2223	299	1
4_NA_peak_3281_lociStitched	10	30727725	30738714	4	8	10819.7694	300	1
6_NA_peak_2052_lociStitched	1	156572192	156601275	6	12	10818.876	301	1
3_NA_peak_5978_lociStitched	12	45727103	45730586	3	6	10812.2769	302	1
4_NA_peak_23880_lociStitched	8	59620276	59631470	4	8	10791.016	303	1
3_NA_peak_229_lociStitched	1	8703073	8713485	3	6	10779.5436	304	1
4_NA_peak_13161_lociStitched	19	41353064	41364525	4	8	10751.5641	305	1
4_NA_peak_17837_lociStitched	3	49803486	49813816	4	8	10742.167	306	1
2_NA_peak_383_lociStitched	1	16732719	16740394	2	4	10688.205	307	1
4_NA_peak_16229_lociStitched	20	53642329	53660257	4	8	10683.2952	308	1
4_NA_peak_6502_lociStitched	12	98491301	98515894	4	8	10683.1992	309	1
5_NA_peak_25000_lociStitched	8	144444296	144465197	5	10	10667.8704	310	1
2_NA_peak_16759_lociStitched	22	17628551	17638957	2	4	10663.0282	311	1
3_NA_peak_15494_lociStitched	2	231706805	231708981	3	6	10656.7424	312	1
3_NA_peak_20998_lociStitched	5	178467375	178486674	3	6	10639.5387	313	1
5_NA_peak_4287_lociStitched	11	6603426	6619006	5	10	10634.908	314	1
4_NA_peak_17174_lociStitched	22	42070591	42090560	4	8	10595.5514	315	1
3_NA_peak_1870_lociStitched	1	150611266	150613364	3	6	10594.2706	316	1
5_NA_peak_10504_lociStitched	17	7835438	7844245	5	10	10578.0877	317	1
5_NA_peak_10730_lociStitched	17	28710983	28728859	5	10	10571.8664	318	1
3_NA_peak_18555_lociStitched	3	152193790	152205062	3	6	10556.228	319	1
4_NA_peak_24800_lociStitched	8	133498933	133501112	4	8	10518.6867	320	1
5_NA_peak_11906_lociStitched	18	23479685	23503736	5	10	10481.4258	321	1
5_NA_peak_23633_lociStitched	8	30082060	30095813	5	10	10471.5342	322	1
6_NA_peak_4725_lociStitched	11	62831953	62841987	6	12	10468.4722	323	1
3_NA_peak_5795_lociStitched	12	14951981	14960090	3	6	10450.8792	324	1
3_NA_peak_1851_lociStitched	1	150150600	150162742	3	6	10443.3342	325	1
4_NA_peak_6221_lociStitched	12	56629924	56646477	4	8	10441.6324	326	1
5_NA_peak_9751_lociStitched	16	30395022	30429927	5	10	10440.0855	327	1
4_NA_peak_19408_lociStitched	4	76989172	77008281	4	8	10435.4249	328	1
5_NA_peak_14395_lociStitched	2	74178594	74205822	5	10	10403.8188	329	1
3_NA_peak_21729_lociStitched	6	37182906	37192448	3	6	10395.0548	330	1
3_NA_peak_15378_lociStitched	2	218216879	218229823	3	6	10365.5552	331	1
3_NA_peak_12372_lociStitched	19	3500818	3506459	3	6	10356.876	332	1
3_NA_peak_13185_lociStitched	19	42242504	42254885	3	6	10331.9445	333	1
3_NA_peak_1774_lociStitched	1	146369826	146387320	3	6	10316.2118	334	1
4_NA_peak_18518_lociStitched	3	149377002	149388322	4	8	10311.388	335	1
